ID,Event,Medal
28171,Athletics Women's 4 x 400 metres Relay,Bronze
28311,"Athletics Women's 1,500 metres",Silver
28312,Athletics Women's Marathon,Bronze
28313,"Athletics Women's 10,000 metres",Bronze
28663,Volleyball Women's Volleyball,Gold
28727,Handball Men's Handball,Silver
28734,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
28734,Swimming Women's 200 metres Backstroke,Gold
28734,Swimming Women's 200 metres Individual Medley,Bronze
28734,Swimming Women's 400 metres Individual Medley,Silver
28759,Handball Men's Handball,Bronze
28906,Handball Women's Handball,Gold
29282,Basketball Women's Basketball,Silver
29366,Athletics Men's Triple Jump,Bronze
29508,Boxing Men's Lightweight,Bronze
29618,"Wrestling Women's Light-Heavyweight, Freestyle",Gold
29686,Gymnastics Women's Team All-Around,Gold
29899,Rowing Men's Coxed Eights,Silver
29989,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
29989,Swimming Men's 4 x 100 metres Medley Relay,Gold
30097,Athletics Men's High Jump,Gold
30126,Rowing Women's Coxed Eights,Bronze
30136,Handball Men's Handball,Bronze
30156,Rowing Men's Single Sculls,Gold
30216,Rowing Women's Single Sculls,Bronze
30615,Boxing Men's Light-Welterweight,Bronze
30661,Athletics Men's 4 x 400 metres Relay,Silver
30664,Rowing Men's Coxless Fours,Silver
30807,Basketball Men's Basketball,Gold
30808,Rowing Men's Coxed Eights,Gold
30884,Boxing Men's Light-Flyweight,Gold
31012,Swimming Men's 200 metres Freestyle,Bronze
31012,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
31041,Boxing Men's Super-Heavyweight,Bronze
31205,Athletics Men's Decathlon,Gold
31360,Rowing Women's Coxed Eights,Silver
31381,Volleyball Men's Volleyball,Gold
31513,Handball Women's Handball,Silver
31634,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
32382,Athletics Women's 4 x 400 metres Relay,Gold
32404,Rowing Women's Coxed Eights,Gold
32407,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
32407,Swimming Women's 4 x 100 metres Medley Relay,Silver
32577,Rowing Men's Quadruple Sculls,Bronze
32710,Athletics Women's Heptathlon,Silver
33079,Swimming Men's 50 metres Freestyle,Gold
33079,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
33095,Volleyball Men's Volleyball,Gold
33238,Taekwondo Women's Heavyweight,Silver
33664,Handball Men's Handball,Silver
33686,Athletics Women's 4 x 100 metres Relay,Silver
33952,Gymnastics Women's Team All-Around,Bronze
34012,"Athletics Men's 5,000 metres",Gold
34012,"Athletics Men's 10,000 metres",Gold
34217,Handball Men's Handball,Bronze
34467,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
34551,Athletics Women's 400 metres,Silver
34551,Athletics Women's 4 x 100 metres Relay,Gold
34551,Athletics Women's 4 x 400 metres Relay,Gold
34876,Basketball Men's Basketball,Bronze
35443,Boxing Men's Flyweight,Bronze
36182,Boxing Women's Middleweight,Silver
36212,Athletics Women's 4 x 100 metres Relay,Silver
36350,Rowing Men's Quadruple Sculls,Silver
36558,Basketball Women's Basketball,Gold
36595,Handball Women's Handball,Bronze
36669,Athletics Men's 4 x 400 metres Relay,Silver
36677,Athletics Women's 4 x 400 metres Relay,Gold
36785,Swimming Women's 4 x 200 metres Freestyle Relay,Gold
36802,"Wrestling Women's Light-Heavyweight, Freestyle",Bronze
36870,Athletics Women's 100 metres,Bronze
36870,Athletics Women's 4 x 100 metres Relay,Silver
37402,Swimming Women's 100 metres Backstroke,Bronze
37589,Rowing Women's Double Sculls,Gold
38162,Taekwondo Women's Heavyweight,Bronze
38258,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
38753,Athletics Men's 4 x 400 metres Relay,Bronze
38761,Athletics Women's 4 x 100 metres Relay,Gold
38960,Basketball Men's Basketball,Bronze
39035,Athletics Men's 100 metres,Silver
39193,Boxing Men's Light-Welterweight,Gold
39246,Taekwondo Women's Welterweight,Bronze
39290,"Athletics Men's 5,000 metres",Bronze
39312,"Wrestling Men's Middleweight, Freestyle",Silver
39502,Handball Men's Handball,Bronze
39561,Basketball Men's Basketball,Gold
39663,Handball Men's Handball,Silver
39672,Swimming Women's 50 metres Freestyle,Bronze
39949,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
40102,Volleyball Men's Volleyball,Silver
40104,Swimming Men's 10 kilometres Open Water,Silver
40243,Basketball Women's Basketball,Silver
40403,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
40549,Rowing Men's Quadruple Sculls,Silver
40641,Boxing Men's Welterweight,Silver
40709,Volleyball Women's Volleyball,Bronze
40724,Handball Women's Handball,Silver
40818,Rowing Women's Coxless Pairs,Gold
40904,Rowing Women's Coxed Eights,Gold
41425,Volleyball Women's Volleyball,Gold
41543,Taekwondo Men's Featherweight,Bronze
41597,Athletics Women's 20 kilometres Walk,Silver
41795,Athletics Women's 4 x 400 metres Relay,Silver
41957,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
42000,Rowing Men's Coxed Eights,Gold
42312,Rowing Women's Double Sculls,Silver
42585,Handball Men's Handball,Silver
42622,Basketball Men's Basketball,Gold
42734,Rowing Men's Coxless Fours,Gold
42804,Rowing Women's Coxed Eights,Silver
42984,Handball Women's Handball,Bronze
42994,Basketball Women's Basketball,Gold
43037,Rowing Men's Double Sculls,Silver
43241,Swimming Women's 200 metres Butterfly,Silver
43241,Swimming Women's 4 x 100 metres Medley Relay,Silver
43300,Rowing Men's Quadruple Sculls,Gold
43570,Volleyball Men's Volleyball,Gold
43698,Handball Men's Handball,Silver
44231,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
44231,Swimming Men's 4 x 100 metres Medley Relay,Silver
44384,Rowing Men's Lightweight Coxless Fours,Gold
44479,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
44667,Handball Men's Handball,Bronze
44745,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
44745,Swimming Men's 200 metres Individual Medley,Silver
44745,Swimming Men's 400 metres Individual Medley,Gold
44993,Athletics Men's 4 x 400 metres Relay,Gold
45219,Gymnastics Men's Horizontal Bar,Gold
45656,Taekwondo Men's Flyweight,Silver
45732,Handball Men's Handball,Gold
45782,Handball Men's Handball,Gold
45793,Handball Men's Handball,Gold
46091,Volleyball Women's Volleyball,Bronze
46275,Athletics Men's Discus Throw,Gold
46344,Boxing Men's Light-Welterweight,Bronze
46542,Athletics Women's 4 x 400 metres Relay,Gold
