,INSTNM,OPEID,REGION,SAT_AVG_ALL,PCTPELL,PCTFLOAN,ADM_RATE_ALL,UG,AVGFACSAL,COMPL_RPY_5YR_RT,DEBT_MDN,MEDIAN_HH_INC,Tuition
226,Concordia University-Chicago,166600,3,1047,0.4265,0.7607,0.503147,1280,4155,0.837837838,17750,68556.46,17938
227,Eastern Illinois University,167400,3,1010,0.4024,0.664,0.502142,9346,8037,0.767441861,18250,66452.23,16174
228,Elmhurst College,167600,3,1090,0.3228,0.8111,0.54779,2484,7853,0.837516513,17750,80672.5,20678
229,Eureka College,167800,3,1033,0.4127,0.7696,0.623673,498,5819,0.802371542,18750,63161.33,15133
230,Governors State University,914500,3,911,0.5305,0.6226,0.388689,3020,7568,0.562054208,13000,67479.79,18082
231,Greenville College,168400,3,1022,0.3898,0.8359,0.562862,1134,5774,PrivacySuppressed,14750,58941.13,19683
232,Hebrew Theological College,168500,3,1048,0.5752,0.0788,0.967742,220,6012,PrivacySuppressed,5500,62643.23,31188
233,University of Illinois at Chicago,177600,3,1092,0.5159,0.4855,0.766535,16140,10611,0.79407851,14750,71955.13,13527
234,University of Illinois at Urbana-Champaign,177500,3,1305,0.2049,0.3759,0.655571,28414,11834,0.855513308,18950,77278.04,18143
235,Illinois Wesleyan University,169600,3,1249,0.1939,0.616,0.619124,2027,8084,0.95010395,25997.5,81071.43,27169
236,Illinois Institute of Technology,169100,3,1251,0.2836,0.4027,0.527141,1736,12430,0.92948718,24039.5,74075.49,18854
237,Illinois State University,169200,3,1090,0.2725,0.6027,0.877173,18025,7831,0.842596613,17750,74746.5,20437
238,Judson University,170000,3,1086,0.4199,0.7109,0.705972,1111,7016,0.785388128,17469,75944.27,19500
239,Lewis University,170700,3,1051,0.3165,0.6644,0.618366,3327,8930,0.810035842,19195.5,79812.86,19809
240,Lincoln Christian University,170800,3,1013,0.4747,0.6789,0.596,653,5352,0.843971631,18728,60672.01,21173
241,Lincoln College,170900,3,824,0.5839,0.6748,0.516009,1010,5261,0.632,9500,67725.68,15923
242,Loyola University Chicago,171000,3,1195,0.2647,0.5873,0.712596,7141,10160,0.872654691,20500,76055.22,31149
243,MacMurray College,171700,3,922,0.5686,0.87,0.626694,739,5726,0.820512821,20000,57876.41,18595
244,McKendree University,172200,3,1006,0.3641,0.5756,0.634979,1993,7036,0.820809249,15950,58622.67,18733
245,Millikin University,172400,3,1069,0.42,0.758,0.6,2307,5945,0.835357625,20500,63904.96,20429
246,Monmouth College,172500,3,1070,0.4437,0.75,0.624012,1069,6842,0.920529801,19848.5,66145.51,14528
247,North Central College,173400,3,1125,0.2502,0.7002,0.571644,2117,8344,0.918653576,20000,86906.76,22627
248,North Park University,173500,3,1014,0.3986,0.7129,0.494489,1655,7732,0.853174603,18543,70754.04,18443
249,Northern Illinois University,173700,3,1029,0.4452,0.6674,0.503538,17151,7956,0.849069767,17000,75712.57,19259
250,Northwestern University,173900,3,1460,0.1376,0.3008,0.13044,9013,15534,0.927702703,18000,81811.63,28155
251,Northeastern Illinois University,169300,3,870,0.4856,0.306,0.670371,8324,7451,0.762322015,10750,61978.62,15591
252,Olivet Nazarene University,174100,3,1078,0.3175,0.7202,0.765788,1874,7022,0.934883721,18921.5,66225.19,20091
253,Quincy University,174500,3,1010,0.4038,0.6937,0.633612,1041,5433,0.868312757,15057,58100.78,17102
254,Rockford University,174800,3,1007,0.5151,0.802,0.538222,1100,5317,0.85,18750,64497.21,21201
255,Roosevelt University,174900,3,1038,0.4558,0.7306,0.722793,4665,7993,0.69740634,17500,70632.13,22229
256,Dominican University,175000,3,1010,0.5058,0.7701,0.627734,1127,7121,0.82735426,18750,69994.18,18246
257,University of St Francis,166400,3,1069,0.3842,0.6776,0.505271,2858,7728,0.81122449,20000,76865.85,17613
258,Saint Xavier University,176800,3,990,0.5192,0.7347,0.74667,2611,7072,0.799482536,18610,69054.28,16330
259,University of Illinois at Springfield,933300,3,1068,0.3782,0.5201,0.631234,2118,7455,0.793680297,14595,58971.81,12566
260,Southern Illinois University-Carbondale,175800,3,1032,0.4283,0.5996,0.806412,17788,7415,0.712657838,15000,59313.76,16048
261,Southern Illinois University-Edwardsville,175900,3,1070,0.3601,0.5871,0.882225,9576,7804,0.843495935,14000,59952.94,16712
262,Trinity Christian College,177100,3,1097,0.3523,0.7105,0.876887,854,6630,0.848484849,19500,74534.57,21042
263,Trinity International University-Illinois,177200,3,1042,0.4662,0.8545,0.663102,1089,7392,PrivacySuppressed,17000,72368.27,20468
264,VanderCook College of Music,177800,3,1107,0.3378,0.6081,0.957447,138,5120,PrivacySuppressed,27000,65913.33,25287
265,Western Illinois University,178000,3,970,0.4621,0.7047,0.600717,10652,8658,0.843323217,17991,67698,17219
266,Wheaton College,178100,3,1314,0.199,0.4774,0.705226,2418,8998,0.964,21500,81885.15,25260
267,Anderson University,178500,3,1050,0.3133,0.6726,0.596183,2090,6437,0.81010453,21000,64040.72,23345
268,Ball State University,178600,3,1070,0.339,0.6037,0.605003,16350,7530,0.790339517,18500,62817.43,15201
269,Bethel College-Indiana,178700,3,1026,0.4875,0.6681,0.664603,1534,5873,0.815642458,18210,61051.82,16996
270,Butler University,178800,3,1209,0.1519,0.5522,0.704315,3315,8498,0.937728938,25504,71968.39,32575
271,DePauw University,179200,3,1208,0.1948,0.4358,0.647626,2223,9424,0.923832924,23977,72050.75,24556
272,University of Evansville,179500,3,1157,0.2339,0.5492,0.697384,2624,7702,0.905691057,23388,61532.75,20879
273,Franklin College,179800,3,994,0.3628,0.773,0.697973,1020,6723,0.898954704,19960,61682.88,21698
274,Goshen College,179900,3,1059,0.323,0.5349,0.65872,1041,5482,0.92578125,15000,61693.43,17533
275,Grace College and Theological Seminary,180000,3,1063,0.2897,0.5132,0.773819,1175,7086,0.922261484,19100,63627.14,17605
276,Hanover College,180100,3,1103,0.3057,0.648,0.612817,1142,7794,0.897849462,26500,64885.98,20588
277,Holy Cross College,726300,3,984,0.3272,0.5976,0.905956,485,4331,PrivacySuppressed,10500,72725.39,22685
278,Huntington University,180300,3,1029,0.3408,0.6406,0.839153,897,6168,0.95,22500,63046.08,19983
279,Indiana University-Purdue University-Fort Wayne,182800,3,995,0.3121,0.403,0.921563,9772,7464,0.790139907,13935,61940.3,14961
280,Indiana University-Purdue University-Indianapolis,181300,3,1014,0.3721,0.4988,0.696652,20211,8038,0.761811024,14250,64749.24,12861
281,University of Indianapolis,180400,3,1030,0.3435,0.6268,0.734063,2856,7222,0.82631579,19295,63891.1,21890
282,Indiana Institute of Technology,180500,3,962,0.6678,0.8526,0.695955,2052,7229,0.675233645,9500,60972.77,23834
283,University of Southern Indiana,180800,3,1002,0.3331,0.5242,0.693323,8539,6945,0.744680851,13000,57279.45,11990
284,Indiana State University,180700,3,910,0.4343,0.6047,0.854895,9537,7086,0.6,12000,56049.16,12143
285,Indiana University-Kokomo,181400,3,947,0.3072,0.3559,0.713168,2381,5969,0.689473684,12000,60071.06,9899
286,Indiana University-South Bend,181600,3,955,0.3354,0.3687,0.76207,5897,5972,0.710674157,12000,59249.25,10035
287,Indiana University-Bloomington,180900,3,1199,0.1604,0.3202,0.779863,29383,9999,0.890931885,18500,70094.49,15349
288,Indiana University-Northwest,181500,3,928,0.3038,0.3605,0.792753,4101,6604,0.623966942,12632,61713.1,8549
289,Indiana University-Southeast,181700,3,955,0.3485,0.4012,0.845596,5655,6667,0.744394619,10500,57669.69,11534
290,Indiana University-East,181100,3,961,0.328,0.367,0.622426,2262,6087,0.616352201,13000,51277.14,9263
291,Manchester University,182000,3,1013,0.3681,0.8207,0.706341,1054,7278,PrivacySuppressed,17989,60877.57,20203
292,Marian University,182100,3,1026,0.2742,0.6958,0.561095,1271,6156,0.703764321,20164,65206.92,19193
293,Indiana Wesleyan University-Marion,182200,3,1086,0.4004,0.6947,0.952141,5220,7135,0.724956283,17256,62930.13,26318
294,University of Notre Dame,184000,3,1455,0.1051,0.3736,0.197995,8038,13583,0.954727794,21000,76710.92,29727
295,Oakland City University,182400,3,925,0.1268,0.1487,0.552885,1125,5407,0.778409091,14500,52931.31,23867
296,Purdue University-Calumet Campus,182700,3,960,0.3252,0.4129,0.646309,8088,8253,0.621968616,13706,61126.89,11207
297,Purdue University-North Central Campus,182600,3,943,0.2266,0.3093,0.483974,3416,7162,0.669191919,12000,65416.73,9625
298,Rose-Hulman Institute of Technology,183000,3,1322,0.1667,0.5316,0.577927,1581,10536,0.967581047,26328,67724.52,36068
299,University of Saint Francis-Fort Wayne,183200,3,974,0.4148,0.8259,0.952573,1385,5872,0.845173042,18750,63802.5,16197
300,Saint Mary-of-the-Woods College,183500,3,952,0.4826,0.7399,0.59364,1354,5000,0.783018868,15531,56558.81,16530
301,Saint Mary's College,183600,3,1125,0.2205,0.6261,0.803717,1449,6941,0.936117936,25000,72879.94,25332
302,Taylor University,183800,3,1191,0.1759,0.456,0.850816,1843,6703,0.953436807,19322,68822.46,25709
303,Trine University,183900,3,1089,0.1713,0.4373,0.776639,1267,7242,0.810690423,16012.5,60275.33,25583
304,Valparaiso University,184200,3,1159,0.2504,0.6429,0.818988,2979,8190,0.860526316,24000,72576.06,20626
305,Wabash College,184400,3,1145,0.2695,0.6916,0.614274,858,8327,0.863849765,23000,66824.54,20373
306,Buena Vista University,184700,4,1010,0.4747,0.7607,0.680758,2629,6481,0.850132626,17067.5,51579.73,19869
307,Central College,185000,4,1068,0.2495,0.7066,0.642787,1336,7059,0.90776699,24000,59591.09,20618
308,Clarke University,185200,4,1045,0.3656,0.7787,0.719173,1107,6132,0.897515528,19766,57836.44,23799
309,Coe College,185400,4,1126,0.2941,0.7282,0.633497,1256,7204,0.894150418,23071.5,61192.02,20496
310,Cornell College,185600,4,1177,0.3361,0.6927,0.704545,987,7254,0.888513514,26250,67428.42,24559
